Index,State,Studio_Dollar_Change,One_Bedroom_Dollar_Change,Two_Bedroom_Dollar_Change,Three_Bedroom_Dollar_Change,Four_Bedroom_Dollar_Change
0,AK,166.4758620689655,167.8505747126436,220.97586206896563,276.0436781609196,289.1666666666665
1,AL,211.11940298507454,228.80597014925377,276.64179104477614,321.2686567164179,373.73134328358196
2,AR,180.60000000000002,187.01333333333332,224.91999999999996,282.1866666666666,322.25333333333333
3,AZ,376.4,431.39999999999986,516.2,665.3333333333333,734.0
4,CA,506.3103448275863,516.8275862068966,622.1379310344826,779.3103448275863,865.3275862068963
5,CO,439.140625,455.4375,555.359375,643.53125,807.484375
6,CT,365.34319526627223,398.3550295857989,486.18934911242604,559.1656804733725,755.7218934911243
7,DC,332.0,290.0,299.0,244.0,160.0
8,DE,342.33333333333326,321.9999999999999,413.3333333333335,451.66666666666674,540.3333333333333
9,FL,415.0746268656717,416.94029850746267,482.59701492537306,589.0895522388059,694.6567164179105
10,GA,339.39622641509425,343.0440251572327,391.2893081761007,455.80503144654085,510.70440251572336
11,HI,581.5999999999999,542.5999999999999,729.4000000000001,895.6000000000001,915.4000000000001
12,IA,189.67676767676772,189.75757575757575,228.77777777777783,277.41414141414134,305.46464646464653
13,ID,242.40909090909088,270.0909090909091,324.68181818181824,457.18181818181824,517.1818181818182
14,IL,175.26470588235293,176.41176470588232,205.99019607843138,260.7843137254903,264.6960784313726
15,IN,219.04347826086962,225.98913043478262,268.6521739130435,320.08695652173924,368.52173913043475
16,KS,159.1619047619048,171.99047619047622,206.73333333333335,241.82857142857154,267.51428571428573
17,KY,209.67499999999995,224.74166666666667,275.48333333333335,335.42499999999995,367.6250000000001
18,LA,227.46875,231.046875,271.71875,329.984375,387.09375
19,MA,609.1396011396012,623.6239316239316,766.1082621082621,899.148148148148,1021.934472934473
20,MD,360.8749999999999,335.20833333333337,373.41666666666674,476.7499999999998,459.41666666666674
21,ME,227.0475167262557,243.0667669652023,341.9448900846047,428.28746504301034,477.00447095472396
22,MI,220.34939759036143,229.71084337349396,275.7469879518072,316.2530120481928,350.9879518072289
23,MN,257.31034482758616,246.36781609195407,296.62068965517244,383.344827586207,440.16091954022977
24,MO,194.27586206896558,161.5,189.0,229.68965517241372,277.5431034482758
25,MS,247.2317073170732,207.890243902439,234.53658536585363,277.280487804878,310.0243902439024
26,MT,181.64285714285717,189.17857142857144,245.5,314.107142857143,339.76785714285734
27,NC,289.52,297.46000000000004,340.56000000000006,408.67999999999995,491.6100000000001
28,ND,124.4716981132076,124.81132075471692,130.03773584905662,139.84905660377353,307.7358490566039
29,NE,184.02150537634412,187.1290322580645,227.9677419354839,273.1612903225807,288.41935483870964
30,NH,279.7220077220078,305.1776061776063,419.29343629343634,527.7567567567569,536.0540540540542
31,NJ,425.9047619047619,443.3809523809523,526.8095238095236,612.7619047619048,656.8571428571429
32,NM,186.81818181818187,218.03030303030312,250.21212121212125,320.9090909090909,396.090909090909
33,NV,381.2941176470588,403.0,495.6470588235294,647.4117647058824,803.0588235294115
34,NY,344.48387096774195,345.8548387096773,403.8064516129033,473.20967741935465,512.8225806451612
35,OH,191.37500000000006,187.78409090909088,223.98863636363637,253.2045454545456,276.22727272727275
36,OK,206.71428571428572,180.5974025974026,223.07792207792204,267.5454545454545,314.8961038961038
37,OR,377.1111111111111,390.05555555555566,477.2777777777778,640.4166666666667,739.2777777777776
38,PA,205.83582089552237,212.02985074626872,256.53731343283584,314.85074626865685,378.8656716417911
39,RI,582.3076923076924,579.6923076923076,709.0,814.6923076923076,1060.7692307692307
40,SC,315.36956521739137,289.4130434782609,330.52173913043487,382.5869565217391,447.9347826086955
41,SD,205.30303030303025,225.469696969697,284.34848484848476,361.5909090909091,527.7727272727273
42,TN,323.6736842105263,300.5052631578948,343.76842105263154,422.9157894736843,474.8105263157895
43,TX,261.3385826771654,261.736220472441,301.6850393700788,372.2480314960628,399.8385826771655
44,UT,282.8620689655172,302.55172413793105,350.7241379310344,423.1379310344828,565.4482758620688
45,VA,313.1998653349792,289.695600942655,324.6259117944114,400.4368757715183,469.20800134665024
46,VT,256.80000000000007,257.843137254902,304.7607843137255,374.70980392156866,356.0
47,WA,420.51282051282044,439.28205128205116,527.7179487179486,696.051282051282,811.2051282051282
48,WI,207.41666666666663,215.69444444444446,260.5,309.83333333333337,344.31944444444434
49,WV,150.05454545454552,144.9818181818182,182.78181818181815,240.89090909090908,263.5272727272727
50,WY,263.0434782608695,214.82608695652175,267.78260869565224,356.17391304347825,476.086956521739
